Post.MemberIsOnline,En ligne
PM.MemberIsOnline,En ligne
Topic.Label.PollCloseAfterDays,Fermer le sondage après un nombre spécifié de jours ? Mettre 0 pour ne pas activer la clôture automatique
Topic.PollClosed,Fermé
Post.OthersLiked,et {0} autres personnes
Members.Label.DisableEmailNotifications,Désactiver les notifications par email
TinyMCE.InsertImage.ButtonTitle,Insérer une image
TinyMCE.InsertImage.ButtonOk,Ok
TinyMCE.InsertImage.ButtonClose,Fermer
TinyMCE.InsertImage.EnterValidUrl,Veuillez entrer une url valide
TinyMCE.InsertImage.SelectFile,Veuillez sélectionner un fichier
TinyMCE.InsertImage.MaxFileSize,Taille max. de l'image est de 2 Mo
TinyMCE.InsertImage.OnlyImages,Seulement le format JPEG
TinyMCE.InsertImage.LabelUploadImage,Envoyer l'image
TinyMCE.InsertImage.Browse,Parcourir
TinyMCE.InsertImage.ExternalImage,Image externe
TinyMCE.InsertImage.ImageDescription,Description de l’image
Post.Options,Options
SlidePanel.CloseConfirmation,Êtes-vous sûr de que vouloir clôturer ?
PM.Block,Bloquer
PM.Blocked,Bloqué
PM.BlockedMessage,Impossible d’envoyer message
PM.ShowMore,Afficher plus de messages
PM.ShowMoreLoading,Chargement...
Members.LogonMicrosoftButton,Connexion avec Microsoft
Search.Results,Résultats trouvés
Post.Move.Label.Topic,Question
Post.Move.Label.NewTopicTitle,Créer une nouvelle question
Post.Move.Label.ReplyToPosts,Déplacer les réponses ainsi que les citations
Post.Move.PostTitle,Déplacer le post
Post.Move.Description,Déplacer le post vers une question déjà posée
TermsAndConditions.Label.Agree,J’ai lu et j'accepte les mentions légales et Conditions
TermsAndConditions.PageTitle,Acceptez les conditions générales d'utilisation
TermsAndConditions.Label.AgreeError,Vous devez accepter les conditions d'utilisation
PostEdit.Panel.Name,Historique des modifications du post
PostEdit.None,Ce post n’a pas d'historique de modifications pour le moment
PostEdit.EditedBy,Modifié par
PostEdit.OriginalVersion,Original
PostEdit.EditedVersion,Modifié
Moderate.Title,Modérer
Moderate.NothingHere,Rien ici pour le moment
Moderate.Topics,Questions
Moderate.Posts,Posts
Moderate.NavText,Posts/questions en attente
